Gene ID	Common Name	Annotation	logFC: YPS606 (WT) EtOH response	Pvalue: YPS606 (WT) EtOH response	FDR: YPS606 (WT) EtOH response	logFC: YPS606 msn2/4ÆÆ EtOH response	Pvalue: YPS606 msn2/4ÆÆ  EtOH response	FDR: YPS606 msn2/4ÆÆ  EtOH response	logFC: WT v msn2/4ÆÆ: EtOH response	Pvalue: WT v msn2/4ÆÆ: EtOH response	FDR: WT v msn2/4ÆÆ: EtOH response	logFC: WT v msn2/4ÆÆ: unstressed	Pvalue: WT v msn2/4ÆÆ: unstressed	FDR: WT v msn2/4ÆÆ:unstressed	logFC: WT v msn2/4ÆÆ: EtOH absolute	Pvalue: WT v msn2/4ÆÆ: EtOH absolute	FDR: WT v msn2/4ÆÆ: EtOH absolute			
YGR072W	UPF3	Component of the nonsense-mediated mRNA decay (NMD) pathway	-0.972659524	0.001034568	0.001571648	-0.760249122	0.006264578	0.009347691	0.212410402	0.580979718	0.745939001	0.301146468	0.259089645	0.998531082	0.513556871	0.070473903	0.130265826			
YKR019C	IRS4	EH domain-containing protein	-0.857395978	2.07E-06	4.03E-06	-0.735531891	1.87E-05	3.73E-05	0.121864087	0.581096331	0.745939001	0.029499248	0.845494995	0.998531082	0.151363334	0.34799645	0.462388634			
YNL240C	NAR1	Subunit of the cytosolic iron-sulfur (FeS) protein assembly machinery	-2.409765559	1.17E-17	5.80E-17	-2.544798024	2.31E-18	1.90E-17	-0.135032464	0.580721808	0.745939001	-0.229935041	0.151751812	0.998531082	-0.364967505	0.054935394	0.106718908			
YOR244W	ESA1	Catalytic subunit of the histone acetyltransferase complex (NuA4)	0.338903979	0.008649255	0.011936013	0.43531226	0.000898966	0.001491196	0.096408281	0.58135839	0.746109007	0.073304035	0.560220915	0.998531082	0.169712316	0.166087259	0.259671829			
YHR031C	RRM3	DNA helicase involved in rDNA replication and Ty1 transposition	-2.219781073	4.31E-26	6.05E-25	-2.29490222	5.35E-27	1.63E-25	-0.075121147	0.581661804	0.746331999	0.066417273	0.446202533	0.998531082	-0.008703874	0.93370455	0.953584704			
YDR107C	TMN2	Protein with a role in cellular adhesion and filamentous growth	0.655260655	2.67E-05	4.71E-05	0.546388028	0.00027423	0.000485682	-0.108872628	0.581967669	0.746558035	0.174986074	0.227213004	0.998531082	0.066113446	0.625913314	0.722429724			
YBR018C	GAL7	Galactose-1-phosphate uridyl transferase	2.29765552	1.14E-07	2.46E-07	2.000590116	1.38E-06	3.12E-06	-0.297065403	0.582739649	0.746882525	0.206471252	0.651305346	0.998531082	-0.090594151	0.753149088	0.822916886			
YGR138C	TPO2	Polyamine transporter of the major facilitator superfamily	-0.066675222	0.648390632	0.678693667	-0.180598441	0.22213662	0.263144347	-0.113923219	0.582619931	0.746882525	-0.137813883	0.350159508	0.998531082	-0.251737103	0.089826264	0.15769561			
YJR048W	CYC1	"Cytochrome c, isoform 1"	-0.397669412	0.000340341	0.000538927	-0.317624633	0.003318784	0.005116751	0.080044778	0.582557249	0.746882525	-0.093161571	0.366892158	0.998531082	-0.013116793	0.898516825	0.928570479			
YKR104W	YKR104W	Putative transporter of the MRP subfamily	0.594296348	0.001629776	0.002430938	0.456331376	0.012565704	0.018041455	-0.137964973	0.582712597	0.746882525	0.098059043	0.595240494	0.998531082	-0.03990593	0.81442498	0.868599256			
YCR041W	YCR041W	Protein of unknown function	0.550090269	0.195077436	0.224528239	0.22083382	0.603953344	0.645562758	-0.329256449	0.58380217	0.747746129	0.018132399	0.967550049	0.998929735	-0.31112405	0.437518874	0.552513962			
YDR375C	BCS1	Protein translocase and chaperone required for Complex III assembly	-0.399284531	3.57E-05	6.23E-05	-0.331529975	0.000422293	0.000731484	0.067754557	0.583828643	0.747746129	-0.164658226	0.063850378	0.998531082	-0.096903669	0.271446454	0.383140213			
YIR032C	DAL3	Ureidoglycolate lyase	0.136851352	0.746566375	0.772884183	-0.192055203	0.651940627	0.691081077	-0.328906555	0.584144704	0.747746129	0.071816244	0.868645266	0.998531082	-0.257090311	0.535836796	0.643496217			
YJL219W	HXT9	Putative hexose transporter that is nearly identical to Hxt11p	4.311977983	1.83E-07	3.90E-07	3.583527456	1.32E-05	2.68E-05	-0.728450527	0.584322809	0.747746129	0.088600502	0.938962663	0.998531082	-0.639850025	0.161719341	0.254610648			
YKR011C	YKR011C	Protein of unknown function	4.455393541	3.75E-29	9.07E-28	4.579681096	1.34E-29	6.91E-28	0.124287554	0.583581161	0.747746129	0.113060992	0.538279565	0.998531082	0.237348546	0.077888977	0.140762622			
YNL079C	TPM1	Major isoform of tropomyosin	0.348270757	0.01822799	0.024169617	0.458787088	0.002305523	0.003632792	0.110516331	0.584241917	0.747746129	0.099400496	0.488276768	0.998531082	0.209916827	0.144420695	0.232787881			
YPR094W	RDS3	Component of the SF3b subcomplex of the U2 snRNP	-0.505625095	0.011699508	0.015886381	-0.358433778	0.060024804	0.078505516	0.147191317	0.58420979	0.747746129	0.144570497	0.443689764	0.998531082	0.291761814	0.133229105	0.217859867			
YMR069W	NAT4	N alpha-acetyl-transferase	-2.528060307	1.32E-07	2.83E-07	-2.210367741	5.64E-07	1.32E-06	0.317692565	0.584587103	0.747751859	-0.045698728	0.887280658	0.998531082	0.271993837	0.574799069	0.677563678			
YPL084W	BRO1	Cytoplasmic class E vacuolar protein sorting (VPS) factor	0.359757128	6.72E-05	0.000114028	0.296222226	0.000723844	0.001215416	-0.063534902	0.58452369	0.747751859	0.048459839	0.558869316	0.998531082	-0.015075063	0.852915288	0.898824679			
YAL043C	PTA1	Subunit of holo-CPF	0.542823564	9.79E-07	1.95E-06	0.616861729	7.00E-08	1.80E-07	0.074038165	0.585398788	0.748153712	-0.006186536	0.948992457	0.998929735	0.067851629	0.475801597	0.589097439			
YDR066C	RTR2	Protein of unknown function	-0.106388852	0.642636914	0.673283233	-0.28408439	0.222363086	0.263304243	-0.177695538	0.585285458	0.748153712	-0.090286362	0.695850066	0.998531082	-0.2679819	0.245393256	0.35373994			
YER058W	PET117	Assembly factor that couples heme a synthesis to complex IV assembly	0.064113744	0.827923727	0.847054563	0.292820473	0.326728052	0.37188979	0.22870673	0.585421181	0.748153712	-0.229721249	0.450283873	0.998531082	-0.00101452	0.997288946	0.997635588			
YGR169C	PUS6	tRNA:pseudouridine synthase	0.105148877	0.309826054	0.345210756	0.18457577	0.076868317	0.098872409	0.079426893	0.585082896	0.748153712	-0.031658818	0.76131592	0.998531082	0.047768075	0.637313504	0.730752296			
YBL085W	BOI1	"Protein involved in polar growth, functionally redundant with Boi2p"	0.091365508	0.413480109	0.450244326	0.00575377	0.95855774	0.966110725	-0.085611738	0.586145325	0.748912872	0.139187733	0.215901498	0.998531082	0.053575995	0.628341184	0.723635826			
YNL197C	WHI3	RNA binding protein that modulates mRNA stability	-0.099674037	0.274991394	0.309150482	-0.029872035	0.741943934	0.774225759	0.069802002	0.586861559	0.749329001	-0.074807004	0.41160831	0.998531082	-0.005005001	0.955946784	0.96821646			
YNL327W	EGT2	Glycosylphosphatidylinositol (GPI)-anchored cell wall endoglucanase	0.369228435	0.000908472	0.00138521	0.288988376	0.007835863	0.011567896	-0.080240059	0.586855333	0.749329001	0.007229531	0.944756014	0.998531082	-0.073010528	0.484579777	0.597012242			
YPL130W	SPO19	NA	-1.542423317	6.47E-05	0.00011004	-1.270518955	0.000581659	0.000988494	0.271904362	0.586669784	0.749329001	-0.204017521	0.516741002	0.998531082	0.067886841	0.860493648	0.903502634			
YJR112W-A	YJR112W-A	Putative protein of unknown function	0.022383763	0.889329894	0.902182388	0.144914888	0.359948333	0.405106379	0.122531124	0.587011644	0.749331168	0.085619476	0.597201027	0.998531082	0.2081506	0.188209925	0.287509641			
YNL229C	URE2	Nitrogen catabolite repression transcriptional regulator	-0.114014687	0.372393592	0.408674455	-0.211420766	0.098662004	0.124812856	-0.097406079	0.587123622	0.749331168	0.181485394	0.157287948	0.998531082	0.084079315	0.507005147	0.617111784			
YHR106W	TRR2	Mitochondrial thioredoxin reductase	0.311085481	0.006079735	0.008518733	0.393980694	0.00060291	0.001021592	0.082895213	0.587626329	0.749640326	0.058089276	0.600162443	0.998531082	0.140984489	0.184007308	0.282288397			
YKR091W	SRL3	Repressor of transcription at Start	1.902229048	2.70E-11	7.88E-11	1.727249743	6.70E-10	2.09E-09	-0.174979305	0.587560002	0.749640326	-0.055887311	0.833188577	0.998531082	-0.230866616	0.205956408	0.308880949			
YLR208W	SEC13	Structural component of 3 complexes	0.026413089	0.66340607	0.693402095	0.072919332	0.232510359	0.273799023	0.046506244	0.587981132	0.749926743	-0.019920796	0.742923988	0.998531082	0.026585448	0.660691448	0.750230076			
YLR070C	XYL2	Xylitol dehydrogenase	0.833734063	0.005254816	0.007418867	0.593845417	0.073227774	0.094464157	-0.239888646	0.588278396	0.750139665	-0.666834938	0.050331889	0.998531082	-0.906723584	0.00199903	0.006584936			
YHL009W-B	YHL009W-B	Retrotransposon TYA Gag and TYB Pol genes	-1.031148572	0.00415357	0.005947251	-0.773713674	0.022953532	0.031744482	0.257434899	0.588933143	0.750808233	0.088357268	0.785459125	0.998531082	0.345792167	0.323096568	0.437586788			
YJR022W	LSM8	Lsm (Like Sm) protein	0.681803555	0.090595502	0.109875203	0.97998031	0.012575145	0.018050507	0.298176754	0.589101721	0.750856843	0.214997259	0.602882292	0.998531082	0.513174013	0.161562133	0.254572033			
YIL011W	TIR3	Cell wall mannoprotein	-2.403258857	1.17E-17	5.80E-17	-2.532231064	1.93E-18	1.60E-17	-0.128972206	0.589465129	0.751153705	-0.118701151	0.463622171	0.998531082	-0.247673357	0.163758047	0.257117108			
YKL018C-A	MCO12	Putative mitochondrial protein of unknown function	-0.086171654	0.64040353	0.671187676	0.05372702	0.768015352	0.797815623	0.139898674	0.589726729	0.751320729	-0.010229345	0.955936952	0.998929735	0.129669329	0.475487803	0.588962297			
YOR021C	SFM1	SPOUT methyltransferase	-2.836533352	1.22E-27	2.14E-26	-2.75285846	2.73E-27	8.73E-26	0.083674891	0.589919678	0.751400236	-0.124736104	0.228625928	0.998531082	-0.041061213	0.723475961	0.800848766			
YPL116W	HOS3	Trichostatin A-insensitive homodimeric histone deacetylase (HDAC)	0.3732539	0.000101516	0.000169567	0.306353398	0.001041762	0.001713741	-0.066900502	0.590431499	0.751885776	0.007503076	0.932651169	0.998531082	-0.059397426	0.494447356	0.605797995			
YER094C	PUP3	Beta 3 subunit of the 20S proteasome	1.026443537	5.86E-16	2.48E-15	0.963602665	4.85E-15	2.64E-14	-0.062840871	0.591270147	0.752203229	0.018125967	0.827966738	0.998531082	-0.044714904	0.585387213	0.686529909			
YGL163C	RAD54	DNA-dependent ATPase that stimulates strand exchange	0.812322111	1.78E-10	4.83E-10	0.737112619	2.14E-09	6.38E-09	-0.075209492	0.590970708	0.752203229	0.034219626	0.737028195	0.998531082	-0.040989866	0.668593167	0.756669734			
YJL081C	ARP4	Nuclear actin-related protein involved in chromatin remodeling	-0.35767521	0.000477269	0.00074328	-0.285581622	0.003940513	0.006017934	0.072093588	0.591334192	0.752203229	0.128337368	0.179538566	0.998531082	0.200430957	0.039481012	0.081481787			
YMR013C	SEC59	Dolichol kinase	1.697523733	4.81E-20	3.11E-19	1.61802984	3.01E-19	2.77E-18	-0.079493894	0.591291045	0.752203229	-0.025152014	0.815568653	0.998531082	-0.104645908	0.303515212	0.41850936			
YNL310C	ZIM17	Protein co-chaperone with a zinc finger motif	0.025534347	0.831685687	0.850601069	0.116793743	0.332117063	0.377092766	0.091259396	0.591179891	0.752203229	-0.067189991	0.579913091	0.998531082	0.024069405	0.839348927	0.88900798			
YGL088W	YGL088W	Putative protein of unknown function	1.422553005	5.30E-10	1.39E-09	1.565120641	2.19E-10	7.25E-10	0.142567636	0.591646251	0.752433898	-0.532842828	0.013624939	0.784151851	-0.390275192	0.022196775	0.050639966			
YBR020W	GAL1	Galactokinase	2.452405098	1.01E-13	3.55E-13	2.264733708	4.80E-12	1.85E-11	-0.18767139	0.592243896	0.752990176	-0.257596247	0.368127874	0.998531082	-0.445267637	0.027600584	0.060518513			
YDR294C	DPL1	Dihydrosphingosine phosphate lyase	0.788349276	8.07E-13	2.63E-12	0.728132316	8.46E-12	3.17E-11	-0.060216961	0.592576711	0.752990176	0.021782055	0.786175204	0.998531082	-0.038434905	0.625351129	0.721971469			
YLR377C	FBP1	"Fructose-1,6-bisphosphatase"	0.720974837	0.311857904	0.347138676	1.32922276	0.148603752	0.181605774	0.608247922	0.592637275	0.752990176	-1.230879721	0.201349669	0.998531082	-0.622631799	0.35166389	0.465114282			
YNL158W	PGA1	Essential component of GPI-mannosyltransferase II	0.120446244	0.326474895	0.361800057	0.212492609	0.083998564	0.107419626	0.092046365	0.59273775	0.752990176	0.040060823	0.745421269	0.998531082	0.132107188	0.272906515	0.384917888			
YOL131W	YOL131W	Putative protein of unknown function	5.105865228	1.74E-06	3.40E-06	4.819519631	0.001650911	0.002655854	-0.286345597	0.592668783	0.752990176	-1.60772145	0.351973643	0.998531082	-1.894067048	0.001613306	0.005498041			
YDL175C	AIR2	RNA-binding subunit of the TRAMP nuclear RNA surveillance complex	0.649379556	6.27E-07	1.27E-06	0.565208942	6.12E-06	1.29E-05	-0.084170614	0.593647475	0.753306022	0.203620157	0.081450391	0.998531082	0.119449543	0.271590409	0.383155489			
YGL204C	YGL204C	Protein of unknown function	0.368478496	0.062233824	0.077252079	0.515491891	0.010843474	0.015694	0.147013395	0.593248551	0.753306022	-0.172108077	0.394217724	0.998531082	-0.025094682	0.89343868	0.925433335			
YGR193C	PDX1	E3-binding protein of the mitochondrial pyruvate dehydrogenase complex	0.631141023	1.38E-11	4.11E-11	0.57828621	1.53E-10	5.12E-10	-0.052854814	0.594284431	0.753306022	0.037001429	0.602613464	0.998531082	-0.015853385	0.818695907	0.871056126			
YIL090W	ICE2	Integral ER membrane protein with type-III transmembrane domains	-0.728202514	5.76E-10	1.50E-09	-0.797996016	4.94E-11	1.74E-10	-0.069793502	0.594048358	0.753306022	-0.095740519	0.301303002	0.998531082	-0.165534021	0.079900291	0.143720649			
YJR018W	NA	NA	-1.887133549	0.007189036	0.009993038	-1.302378647	0.090213964	0.114705451	0.584754903	0.594295109	0.753306022	-0.911296274	0.139292878	0.998531082	-0.326541371	0.698231407	0.780392229			
YLL048C	YBT1	Transporter of ATP-binding cassette (ABC) family	-0.075803446	0.352126111	0.388060098	-0.014523557	0.857801135	0.877183242	0.061279889	0.593534746	0.753306022	-0.048164248	0.55333535	0.998531082	0.01311564	0.871419513	0.910527532			
YNL249C	MPA43	Protein of unknown function	2.277786325	1.43E-20	9.95E-20	2.175041133	9.50E-20	9.34E-19	-0.102745193	0.593338477	0.753306022	-0.025383819	0.861002859	0.998531082	-0.128129012	0.311819127	0.42684048			
YNL306W	MRPS18	Mitochondrial ribosomal protein of the small subunit	-0.533699466	3.77E-06	7.16E-06	-0.610318734	3.02E-07	7.24E-07	-0.076619268	0.594021597	0.753306022	-0.100692597	0.321005687	0.998531082	-0.177311864	0.087709197	0.154958299			
YPL024W	RMI1	Subunit of the RecQ (Sgs1p) - Topo III (Top3p) complex	0.384191529	0.000299923	0.000478878	0.45864044	2.83E-05	5.58E-05	0.074448911	0.593764527	0.753306022	-0.118363311	0.24433983	0.998531082	-0.0439144	0.648350604	0.74016384			
YPR175W	DPB2	Second largest subunit of DNA polymerase II (DNA polymerase epsilon)	-0.200009785	0.121732941	0.144891399	-0.2963675	0.024441811	0.033697501	-0.096357715	0.594093173	0.753306022	-0.093927943	0.463240465	0.998531082	-0.190285658	0.141086988	0.228467309			
YPL005W	AEP3	Peripheral mitochondrial inner membrane protein	0.712017047	1.50E-06	2.94E-06	0.80932589	1.27E-07	3.17E-07	0.097308843	0.594576352	0.753496584	-0.111715037	0.408442241	0.998531082	-0.014406195	0.907039239	0.934826449			
YEL053W-A	NA	NA	-1.899214628	0.000144696	0.000237285	-2.249728356	8.09E-06	1.68E-05	-0.350513728	0.594846194	0.753672615	0.253449327	0.518410877	0.998531082	-0.0970644	0.853558399	0.899008626			
YBR216C	YBP1	Protein involved in cellular response to oxidative stress	0.377504456	4.22E-05	7.30E-05	0.440203142	3.34E-06	7.23E-06	0.062698686	0.595153265	0.75374749	0.014187337	0.866463351	0.998531082	0.076886024	0.352102217	0.465587035			
YOR035C	SHE4	Protein containing a UCS (UNC-45/CRO1/SHE4) domain	0.560072108	1.95E-07	4.13E-07	0.491337316	2.49E-06	5.47E-06	-0.068734792	0.595167189	0.75374749	-0.004821987	0.958685288	0.998929735	-0.073556779	0.412989817	0.528025185			
YNL056W	OCA2	Protein of unknown function	-0.319127434	0.007256711	0.010081977	-0.404512669	0.000828233	0.001382172	-0.085385235	0.595678983	0.754063828	0.038299617	0.735314403	0.998531082	-0.047085618	0.679816748	0.766058184			
YNL130C	CPT1	Cholinephosphotransferase	0.919656746	3.98E-11	1.14E-10	0.998954135	3.70E-12	1.44E-11	0.07929739	0.595597174	0.754063828	0.028561136	0.787770149	0.998531082	0.107858526	0.306776356	0.421533708			
YER087C-A	NA	NA	-0.167334531	0.839278344	0.857148004	0.425977287	0.570449506	0.613969214	0.593311818	0.596464772	0.754184932	-0.006128179	0.993707833	0.998929735	0.587183639	0.432618352	0.548249941			
YGR016W	YGR016W	Putative protein of unknown function	0.443225097	0.09451759	0.114246797	0.634169993	0.012746261	0.018268795	0.190944896	0.596540986	0.754184932	0.333636618	0.213760869	0.998531082	0.524581513	0.03363778	0.071209659			
YLR131C	ACE2	Transcription factor required for septum destruction after cytokinesis	-0.480737614	2.39E-05	4.23E-05	-0.556995381	1.63E-06	3.67E-06	-0.076257766	0.596560805	0.754184932	0.147417282	0.149096673	0.998531082	0.071159515	0.488284769	0.600420237			
YPL031C	PHO85	Cyclin-dependent kinase	1.021839409	8.35E-14	2.96E-13	1.09377679	1.04E-14	5.40E-14	0.071937381	0.596003228	0.754184932	-0.104705081	0.288520009	0.998531082	-0.032767699	0.726291644	0.802868198			
YPL085W	SEC16	COPII vesicle coat protein required for ER transport vesicle budding	-0.070139185	0.539679601	0.573664964	0.01537144	0.892589296	0.908691897	0.085510625	0.596327418	0.754184932	0.046373888	0.684901161	0.998531082	0.131884513	0.250043675	0.359094659			
YPR103W	PRE2	Beta 5 subunit of the 20S proteasome	0.814718509	1.35E-12	4.34E-12	0.877330929	1.34E-13	6.12E-13	0.06261242	0.596116219	0.754184932	0.03868932	0.645549219	0.998531082	0.10130174	0.224993063	0.331302141			
YGR179C	OKP1	Outer kinetochore protein required for accurate chromosome segregation	0.107800292	0.532320114	0.566888913	0.23585972	0.168607663	0.204102147	0.128059428	0.596777607	0.754293347	0.050489448	0.771679324	0.998531082	0.178548876	0.290187022	0.404043662			
YLR293C	GSP1	Ran GTPase	-0.494528	5.96E-07	1.21E-06	-0.4309135	7.28E-06	1.52E-05	0.0636145	0.597739806	0.755343649	-0.087108999	0.308844163	0.998531082	-0.023494499	0.782676765	0.844756696			
YLR119W	SRN2	Component of the ESCRT-I complex	-0.010827661	0.9645153	0.969300234	-0.190042806	0.423452991	0.468099753	-0.179215145	0.598114562	0.755651321	0.262943269	0.280789886	0.998531082	0.083728124	0.725042962	0.801949901			
YDR262W	YDR262W	Putative protein of unknown function	-0.083927571	0.534686028	0.569092599	-0.184833304	0.177749742	0.214267542	-0.100905733	0.598429439	0.755883224	-0.094505509	0.488980631	0.998531082	-0.195411241	0.15078942	0.240961661			
YDR039C	ENA2	P-type ATPase sodium pump	0.190884519	0.912551365	0.923785729	-0.993886834	0.491522998	0.536342441	-1.184771353	0.598823649	0.756215209	1.519522791	0.325502428	0.998531082	0.334751438	0.835266734	0.885250473			
YPL046C	ELC1	"Elongin C, conserved among eukaryotes"	-0.223552977	0.349837765	0.385759804	-0.400773617	0.098924414	0.125089834	-0.17722064	0.599753484	0.757223306	-0.05552182	0.815405479	0.998531082	-0.232742459	0.33315914	0.447529524			
YHR164C	DNA2	ATP-dependent 5'-flap endonuclease and DNA helicase	0.024157958	0.818336876	0.838687079	-0.053084658	0.606205355	0.647609136	-0.077242616	0.600025244	0.757400286	0.300828213	0.006000462	0.507921449	0.223585597	0.034798515	0.073184148			
YGL049C	TIF4632	Translation initiation factor eIF4G and scaffold protein	-0.154021827	0.177830903	0.206079058	-0.237778915	0.03967132	0.053190803	-0.083757088	0.600540002	0.757717723	0.047674834	0.673498367	0.998531082	-0.036082254	0.749264462	0.820229411			
YNL319W	NA	NA	-0.523012032	0.176639729	0.204904933	-0.245776021	0.500464463	0.545375511	0.277236011	0.600437212	0.757717723	0.066951214	0.855904036	0.998531082	0.344187226	0.365639654	0.480397592			
YHR188C	GPI16	Subunit of the glycosylphosphatidylinositol transamidase complex	0.452849141	0.001002257	0.001523769	0.357319577	0.007915088	0.011681858	-0.095529563	0.601166629	0.758342125	-0.033644217	0.795103654	0.998531082	-0.12917378	0.317826836	0.432011562			
YGL141W	HUL5	Multiubiquitin chain assembly factor (E4)	1.630635165	1.13E-19	7.06E-19	1.554351623	6.26E-19	5.50E-18	-0.076283542	0.601298926	0.758342817	0.065062583	0.546428001	0.998531082	-0.011220959	0.90911466	0.936387283			
YLR136C	TIS11	mRNA-binding protein expressed during iron starvation	0.389383753	0.075046088	0.092103472	0.22929469	0.296224124	0.34087686	-0.160089064	0.60157625	0.758526373	-0.150655629	0.498809823	0.998531082	-0.310744693	0.144783823	0.233177304			
YBR097W	VPS15	Serine/threonine protein kinase involved in vacuolar protein sorting	0.799534472	7.36E-09	1.76E-08	0.882502399	5.72E-10	1.80E-09	0.082967927	0.601875511	0.758541286	0.036902743	0.749001292	0.998531082	0.11987067	0.275701019	0.388003683			
YGL011C	SCL1	Alpha 1 subunit of the 20S proteasome	0.848076283	4.82E-14	1.75E-13	0.90574484	5.53E-15	2.99E-14	0.057668557	0.602053551	0.758541286	0.024087295	0.760204366	0.998531082	0.081755852	0.293075144	0.407080243			
YJR106W	ECM27	Protein involved in calcium homeostasis and exit from quiescence	0.909041657	7.24E-11	2.03E-10	0.83001401	7.59E-10	2.36E-09	-0.079027647	0.601738722	0.758541286	0.045236184	0.683670015	0.998531082	-0.033791463	0.742378949	0.814787995			
YPL150W	YPL150W	Protein kinase of unknown cellular role	0.361676172	6.19E-05	0.000105468	0.301213695	0.000577941	0.000982465	-0.060462477	0.602115208	0.758541286	0.079967267	0.338793777	0.998531082	0.01950479	0.80873446	0.864934142			
YDR381C-A	COI1	Mitochondrial assembly factor	-0.209210375	0.341463374	0.37710345	-0.373084723	0.104584766	0.131602143	-0.163874348	0.602860608	0.759314149	-0.299137328	0.182704887	0.998531082	-0.463011675	0.042540705	0.086647981			
YDR316W	OMS1	Protein integral to the mitochondrial membrane	-0.811279749	0.000423745	0.000663513	-0.656068652	0.00283801	0.004424589	0.155211097	0.603275018	0.759503719	0.166914824	0.422811346	0.998531082	0.322125921	0.137707326	0.223910556			
YPL265W	DIP5	Dicarboxylic amino acid permease	2.695730215	1.32E-21	1.04E-20	2.802219809	3.38E-22	4.70E-21	0.106489595	0.603210624	0.759503719	0.175547492	0.231770958	0.998531082	0.282037087	0.054890856	0.106668389			
YPL137C	GIP3	Cytoplasmic protein that regulates protein phosphatase 1 Glc7p	-0.053233345	0.684065909	0.713700086	0.042909537	0.742769221	0.774806023	0.096142882	0.603454029	0.759562954	-0.106337122	0.418781155	0.998531082	-0.01019424	0.937656879	0.955621592			
YGL166W	CUP2	Copper-binding transcription factor	0.992956784	2.25E-08	5.15E-08	1.101685935	2.51E-09	7.45E-09	0.108729151	0.603682205	0.759684034	-0.167727799	0.288839736	0.998531082	-0.058998649	0.669709424	0.757486234			
YMR276W	DSK2	Nuclear-enriched ubiquitin-like polyubiquitin-binding protein	0.248460645	0.111746449	0.133585163	0.361339724	0.022649612	0.031354296	0.112879079	0.604244887	0.760225917	-0.037580729	0.808221028	0.998531082	0.07529835	0.622497637	0.719558018			
YDR457W	TOM1	E3 ubiquitin ligase of the hect-domain class	-0.06708677	0.466001226	0.501271362	0.000129736	0.998869469	0.999043034	0.067216506	0.604740865	0.760351337	0.012193083	0.894332727	0.998531082	0.079409589	0.387943204	0.502814926			
YGL053W	PRM8	Pheromone-regulated protein	0.016822773	0.903567592	0.915818816	-0.084722159	0.540210082	0.584153529	-0.101544933	0.604537087	0.760351337	0.035844275	0.797887239	0.998531082	-0.065700657	0.631804942	0.726177025			
YLR390W	ECM19	Protein of unknown function	-0.254696637	0.11852318	0.141334042	-0.374744092	0.028961305	0.03954953	-0.120047456	0.604706567	0.760351337	-0.390823667	0.020604679	0.903460166	-0.510871123	0.003100629	0.009615958			
YDR264C	AKR1	Palmitoyl transferase involved in protein palmitoylation	0.485047431	5.38E-08	1.19E-07	0.430655046	6.37E-07	1.48E-06	-0.054392384	0.606006255	0.761626581	0.006010618	0.93604691	0.998531082	-0.048381766	0.514230218	0.623622606			
YJL030W	MAD2	Component of the spindle-assembly checkpoint complex	0.949085865	3.75E-07	7.76E-07	0.833512058	3.19E-06	6.93E-06	-0.115573807	0.606019761	0.761626581	0.247741665	0.137560116	0.998531082	0.132167858	0.38542519	0.500565747			
YFL028C	CAF16	Part of evolutionarily-conserved CCR4-NOT regulatory complex	0.371460739	0.000419454	0.000657331	0.30013217	0.003418501	0.005262608	-0.071328569	0.606163721	0.761641209	0.045814064	0.644853487	0.998531082	-0.025514505	0.790626407	0.851421066			
YGR271W	SLH1	Subunit of ribosome-associated quality control trigger complex (RQT)	0.150536168	0.124729177	0.148243061	0.220993423	0.026054236	0.035800474	0.070457254	0.606600062	0.762023125	-0.025148776	0.79624358	0.998531082	0.045308478	0.636813169	0.730469629			
YKR012C	NA	NA	0.305911866	0.522673408	0.557544132	0.658059377	0.179827315	0.216635837	0.352147511	0.607143861	0.762539835	-0.293451807	0.575269394	0.998531082	0.058695704	0.894382284	0.925744367			
YDR127W	ARO1	Pentafunctional arom protein	0.674919616	2.92E-06	5.60E-06	0.766765029	2.56E-07	6.20E-07	0.091845413	0.607318658	0.762592974	0.033185186	0.792984041	0.998531082	0.125030599	0.323570122	0.437919028			
YHR137C-A	NA	NA	4.89891207	1.59E-05	2.85E-05	3.489544011	0.005432631	0.008160289	-1.409368059	0.607607006	0.762788642	0.099075015	0.958080405	0.998929735	-1.310293044	0.030520056	0.065721452			
YLR089C	ALT1	Alanine transaminase (glutamic pyruvic transaminase)	0.068787196	0.50522554	0.540233737	-0.00610456	0.952778806	0.960959314	-0.074891756	0.607796079	0.762859623	-0.139322683	0.181578429	0.998531082	-0.214214439	0.042046591	0.085822757			
YLL063C	AYT1	Acetyltransferase	0.858464191	5.85E-08	1.29E-07	0.954977121	5.81E-09	1.66E-08	0.09651293	0.608310744	0.763339142	-0.105431489	0.45345895	0.998531082	-0.008918559	0.943317533	0.958978403			
YER134C	YER134C	Magnesium-dependent acid phosphatase	-0.050858078	0.630552074	0.661826721	0.025356361	0.808460082	0.833511774	0.076214439	0.608594354	0.763528574	0.058552905	0.580633416	0.998531082	0.134767344	0.200836333	0.303336114			
YLR402W	NA	NA	-0.109519558	0.825963083	0.845499468	-0.453168864	0.31123939	0.355949519	-0.343649306	0.608761895	0.763572339	0.599175409	0.205657089	0.998531082	0.255526102	0.589192343	0.690148785			
YKL046C	DCW1	Putative mannosidase	-0.178550882	0.022879841	0.029999172	-0.123510885	0.109339727	0.137205029	0.055039998	0.609447662	0.764265957	0.01029745	0.892405084	0.998531082	0.065337448	0.392045287	0.507560205			
YBR038W	CHS2	Chitin synthase II	-2.384052976	6.42E-22	5.25E-21	-2.476897134	1.43E-22	2.08E-21	-0.092844158	0.610355078	0.764607369	-0.066770871	0.589963163	0.998531082	-0.159615029	0.235618394	0.343172945			
